,user_location,date,text,hashtags,source
385,Western Canada,2022-08-18 20:47:25+00:00,"Six million #Canadians suffered from #foodinsecurity last year...in other words, they had trouble feeding themselves and/or their kids. #Poverty, #homelessness, faltering #healthcare system...#Canada must do more to protect the most vulnerable among us:

https://t.co/qhCmhy41sU","['Canadians', 'foodinsecurity']",Twitter Web App
386,"Phoenix, Arizona",2022-08-18 20:36:10+00:00,"RT @pcfrarizona: 1 in 9 people worldwide is chronically undernourished. That's 815 million people, including 38 million in the U.S. and nea…",,Twitter Web App
387,,2022-08-18 20:33:09+00:00,2nd 20lb pan of chicken salad made in 5 days. This will go to feed lots of hungry people in Lincoln today! #foodinsecurity #Lincoln https://t.co/7DWZMezMmN,,Twitter for Android
388,USA,2022-08-18 19:34:48+00:00,RT @tigger_porn: @POTUS @SecYellen @SenSchumer @KamalaHarris @SpeakerPelosi @federalreserve @USDA here's one gallon that hasn't come down y…,,Twitter for Android
389,Massachusetts,2022-08-18 19:27:56+00:00,"If you missed yesterday's important forum on #foodinsecurity with the 3 Democratic candidates for LG, well here you go. Thanks to @projectbread for hosting! #mapoli @TamiGouveiaMA @senatorlesser @MayorDriscoll  https://t.co/npAAA6F9ou",['foodinsecurity'],Twitter Web App
390,Worldwide,2022-08-18 19:19:29+00:00,"The solution to tackling #foodinsecurity &amp; #climatechange in Africa could be found in the ways we farm. Transitioning to #organicfarming methods can cut #carbon emissions, boost #economicgrowth, and improve #foodsecurity for millions of people 🌾🌽

🗞️➡️ https://t.co/B7buhbAF5a https://t.co/H0DW8SIzYt","['foodinsecurity', 'climatechange']",Hootsuite Inc.
391,"California, USA",2022-08-18 19:14:32+00:00,@PeterStefanovi2 #heartbreaking #inflation #foodinsecurity There are FAR TOO MANY PEOPLE going hungry in the USA and across the WORLD! This is unacceptable!,"['heartbreaking', 'inflation', 'foodinsecurity']",Twitter for iPhone
392,United States,2022-08-18 19:02:02+00:00,"Let’s explore a 6 questions around promoting healthy food choices to bring to the @WhiteHouse Conference on #FoodInsecurity!

As we tweet each question out, answer them from your own experience! Tag @FoodRescueHero &amp; #WhiteHouseConferenceListeningSessions",,Sprout Social
393,"Mississauga, Ontario",2022-08-18 19:00:45+00:00,"“Feeding people is good, we need to keep doing that, but we’re not moving that bar,” says Tamisan Bencz-Knight, a spokesperson for Edmonton’s Food Bank, which also claims that free food for those in need won’t solve #FoodInsecurity or poverty issues: https://t.co/yfk9iY4RdR",,Hootsuite Inc.
394,"Pittsburgh, PA",2022-08-18 18:59:37+00:00,"RT @FoodRescueHero: 🗓️ Join us TODAY for our #WhiteHouseConferenceListeningSessions @ 3pm ET!

Today's topic: Promoting healthy food choice…",['WhiteHouseConferenceListeningSessions'],Twitter for iPhone
395,Chicago,2022-08-18 18:56:37+00:00,"RT @BlessinBackpack: We want to thank our amazing #staff, #volunteers, and #donors. You are a gift to the children who experience #foodinse…","['staff', 'volunteers', 'donors']",Twitter for iPhone
396,"Plymouth, MA",2022-08-18 18:50:17+00:00,RT @PlymouthSheriff: We surpassed 12k lbs of veggies grown on the farm this season!We thank our friends from @SSCAC who help with distribut…,,Twitter Web App
397,"Kentucky, USA",2022-08-18 18:48:12+00:00,"#ThankfulThursday
When he’s in Lexington,  Ques spends time at food pantry serving families organic vegetables, fruits and more! #serving #givingback #community #foodinsecurity #endhunger 
#3MarquesWarrick💛🖤! https://t.co/iEw2rr1vhW",['ThankfulThursday'],Twitter for iPhone
398,"Salt Lake City, UT",2022-08-18 18:03:04+00:00,"CA’s $130M investment in college students' Basic Needs – support for food, housing, transport, and health – strengthened by a unique digital safety net via ConexED 1-stop-student support. Learn more:
https://t.co/vyxOkyS6Lo

#conexed #doingmore #foodinsecurity #basicneeds",,HubSpot
399,"Atlanta, GA",2022-08-18 17:55:05+00:00,"I detest those unwilling to support #nutrition programs for #children. Yrs ago me n my kids were in deep #poverty, w. no stove or fridge, free school lunch was crucial to their wellbeing. Lets squelch child #foodinsecurity. (Read my #livedexperience at: https://t.co/BwYhoRXg0H) https://t.co/ktxphDXumW","['nutrition', 'children', 'poverty']",Twitter for Android
400,"Washington, DC, Bethesda, MD, Arlington, VA",2022-08-18 17:52:54+00:00,"RT @TasteoftheNFL: Check out this Bethesda Magazine story on the work award-winning Chef Mark Bucher, founder of @FeedFridge, is doing in c…",,Twitter for iPhone
401,"Raleigh, NC",2022-08-18 17:42:36+00:00,"⭐ Scan the QR code or use the link below ⬇️ to check out our Crochet Keychain Fundraiser! 100% of the profits go towards battling local #foodinsecurity at PORCH Raleigh! Buy a #keychain or make an additional #donation today to help further our mission!

https://t.co/PN35tFWlz4 https://t.co/7CXvYAzLAl",,Twitter for Android
402,NFL Cities Across the Country,2022-08-18 17:30:54+00:00,"Check out this Bethesda Magazine story on the work award-winning Chef Mark Bucher, founder of @FeedFridge, is doing in communities around the country to tackle #foodinsecurity, including supporting @GENYOUthNow’s #TasteoftheNFL.

https://t.co/CLVhyhMQMd",,Twitter for iPhone
403,"New York, NY",2022-08-18 17:30:24+00:00,"Check out this Bethesda Magazine story on the work award-winning Chef Mark Bucher, founder of @FeedFridge, is doing in communities around the country to tackle #foodinsecurity, including supporting GENYOUth’s #TasteoftheNFL.

https://t.co/ArtRggg33z",,Twitter Web App
404,,2022-08-18 17:30:11+00:00,The Pentagon is looking to provide some relief for the one in four military families that experience #FoodInsecurity with a new roadmap to get them the resources they need and improve economic conditions. https://t.co/LMLQ0HtwQj https://t.co/DNFJ4iWAL0,,ReadyForSocial App
405,"Phoenix, Arizona",2022-08-18 17:24:53+00:00,"1 in 9 people worldwide is chronically undernourished. That's 815 million people, including 38 million in the U.S. and nearly 800,000 in Arizona. How does this affect our national and global security? Let's discuss: https://t.co/FVoIkMaNuj.

#foodinsecurity #globalsecurity https://t.co/Cr5SslE0FW",,Twitter Web App
406,#TorontoTheGood,2022-08-18 17:14:39+00:00,"1 in 9 people worldwide is chronically undernourished. That's 815 million people, including 38 million in the U.S. and nearly 800,000 in Arizona. How does this affect our national and global security? Let's discuss: https://t.co/FVoIkMaNuj.

#foodinsecurity #globalsecurity https://t.co/Cr5SslE0FW","['Canada', 'FoodInsecurity']",Twitter Web App
407,"Cambridge, MA",2022-08-18 17:10:41+00:00,"1 in 9 people worldwide is chronically undernourished. That's 815 million people, including 38 million in the U.S. and nearly 800,000 in Arizona. How does this affect our national and global security? Let's discuss: https://t.co/FVoIkMaNuj.

#foodinsecurity #globalsecurity https://t.co/Cr5SslE0FW",,Twitter Web App
408,Chicago,2022-08-18 17:02:33+00:00,"1 in 9 people worldwide is chronically undernourished. That's 815 million people, including 38 million in the U.S. and nearly 800,000 in Arizona. How does this affect our national and global security? Let's discuss: https://t.co/FVoIkMaNuj.

#foodinsecurity #globalsecurity https://t.co/Cr5SslE0FW",['foodinsecurity'],Twitter for iPhone
409,"Louisville, KY USA",2022-08-18 17:00:28+00:00,"1 in 9 people worldwide is chronically undernourished. That's 815 million people, including 38 million in the U.S. and nearly 800,000 in Arizona. How does this affect our national and global security? Let's discuss: https://t.co/FVoIkMaNuj.

#foodinsecurity #globalsecurity https://t.co/Cr5SslE0FW",['foodinsecurity'],Meltwater Social
410,Toronto Canada,2022-08-18 16:46:27+00:00,"1 in 9 people worldwide is chronically undernourished. That's 815 million people, including 38 million in the U.S. and nearly 800,000 in Arizona. How does this affect our national and global security? Let's discuss: https://t.co/FVoIkMaNuj.

#foodinsecurity #globalsecurity https://t.co/Cr5SslE0FW","['FoodInsecurity', 'COVID19']",Twitter for iPhone
411,"Calgary, Alberta",2022-08-18 16:38:59+00:00,"1 in 9 people worldwide is chronically undernourished. That's 815 million people, including 38 million in the U.S. and nearly 800,000 in Arizona. How does this affect our national and global security? Let's discuss: https://t.co/FVoIkMaNuj.

#foodinsecurity #globalsecurity https://t.co/Cr5SslE0FW",['FoodInsecurity'],Twitter for iPhone
412,all around the world ,2022-08-18 16:33:05+00:00,"WFP Representative updates on food security in Haiti 
https://t.co/pJbDhx9Z04 via @DiplomaticIns  

#TDI #WFP #UN #Haiti #foodinsecurity #foodsecuritychallenges

@CreoleBauer @MayaPlentz @WFP_Haiti","['TDI', 'WFP', 'UN']",TweetDeck
413,"York, England",2022-08-18 16:16:32+00:00,RT @GeoFoodieOrg: Analysis of @Foodgov data on #foodinsecurity. A thread.  This is a representative sample of adults (over 16) living in En…,['foodinsecurity'],Twitter for iPhone
414,"Welland, Ontario, Ca",2022-08-18 16:15:38+00:00,"RT @homelesshub: NEW LAUNCH: This report by @proofcanada examines what #FoodInsecurity rates looked like through #COVID19, the state of the…","['FoodInsecurity', 'COVID19']",Twitter Web App
415,Canada,2022-08-18 16:15:21+00:00,"RT @homelesshub: NEW LAUNCH: This report by @proofcanada examines what #FoodInsecurity rates looked like through #COVID19, the state of the…","['FoodInsecurity', 'COVID19']",Twitter Web App
416,"Washington, DC",2022-08-18 16:03:01+00:00,Here are 6 pillars of an equitable nutrition policy for advocates to press on their state policymakers to solve the problem of #FoodInsecurity: https://t.co/Sd30fBfEVT,,Sprout Social
417,Canada,2022-08-18 16:02:20+00:00,"NEW LAUNCH: This report by @proofcanada examines what #FoodInsecurity rates looked like through #COVID19, the state of the problem before this period of record #inflation &amp; the policies needed to reduce it.

Read it here: https://t.co/umVLeUIQbO https://t.co/7CsbTk0m18","['FoodInsecurity', 'COVID19']",Hootsuite Inc.
418,,2022-08-18 16:02:19+00:00,"NEW: Hub Solutions partnered with PROOF to design their latest report exploring the scale and severity #FoodInsecurity in Canada in 2021.

Read Report: https://t.co/LfxKNywLCU https://t.co/nwMx3U38Mv",,Hootsuite Inc.
419,Canada,2022-08-18 16:00:02+00:00,"Women’s economic empowerment is key to achieving gender equality and reducing #FoodInsecurity.
In partnership with @FAOLebanon, Canada aims to empower and improve the livelihoods of rural women in #Lebanon by generating sustainable income from agri-food activities.
#SDG1 #SDG2 https://t.co/iVld9DuXmP",['FoodInsecurity'],Twitter Web App
420,"Decatur, GA",2022-08-18 15:54:48+00:00,"August groceries to date:

$348 

#costofliving #foodinsecurity","['costofliving', 'foodinsecurity']",Twitter for iPhone
421,Nigeria,2022-08-18 15:47:55+00:00,"RT @USAIDNigeria: .@USAID funded @FeedtheFuture Nigeria Rural Resilience Activity, implemented by @MercyCorps_NG, is responding to the glob…",,Twitter for iPhone
422,"Abuja, Nigeria",2022-08-18 15:33:36+00:00,"RT @USAIDNigeria: .@USAID funded @FeedtheFuture Nigeria Rural Resilience Activity, implemented by @MercyCorps_NG, is responding to the glob…",,Twitter for Android
423,"Lagos, Abuja, Nigeria.",2022-08-18 15:31:59+00:00,"RT @USAIDNigeria: .@USAID funded @FeedtheFuture Nigeria Rural Resilience Activity, implemented by @MercyCorps_NG, is responding to the glob…",,Twitter for Android
424,"Abuja, Nigeria",2022-08-18 15:31:45+00:00,"RT @USAIDNigeria: .@USAID funded @FeedtheFuture Nigeria Rural Resilience Activity, implemented by @MercyCorps_NG, is responding to the glob…",,Twitter Web App
425,"Raleigh, NC",2022-08-18 14:30:06+00:00,#College student #FoodInsecurity is often a silent issue. Pennsylvania is making great strides to help students in need of college food pantries and supplemental nutrition programs! @DiverseIssues https://t.co/FlSDb6xUAe,"['College', 'FoodInsecurity']",Qnary.io
426,"Toronto, Canada",2022-08-18 14:24:17+00:00,"@proofcanada 2/4: According to @PROOFCanada, racialized communities and those on social assistance are most affected. More than half of the respondents reported experiencing #FoodInsecurity despite earning a wage or salary.",,Twitter Web App
427,Global ,2022-08-18 14:23:21+00:00,Hunger gains on track to be wiped out by 2030 as #foodinsecurity rises https://t.co/wLObtVmB0N,['foodinsecurity'],Twitter for Android
428,Philadelphia Pennsylvania,2022-08-18 14:08:10+00:00,"RT @farmingfirst: Today is #WorldHumanitarianDay!

Though the world is facing growing #FoodInsecurity, working together can help address hu…","['WorldHumanitarianDay', 'FoodInsecurity']",Twitter Web App
429,"Abuja, Nigeria",2022-08-18 14:05:52+00:00,".@USAID funded @FeedtheFuture Nigeria Rural Resilience Activity, implemented by @MercyCorps_NG, is responding to the global #foodinsecurity &amp; nutrition crisis. Hundreds of smallholder farmers have received a loan to increase productivity/mitigate fuel &amp; fertilizer shortages in 🇳🇬 https://t.co/9Bu3nj8A1i",,Twitter Web App
430,North America,2022-08-18 14:01:18+00:00,"Bell and Howell's innovative locker systems are continuing to allow greater access to food assistance programs.

Read more: https://t.co/v1rFYJAhWi

#FoodInsecurity #FoodBank #SocialInnovation #AutomatedPickup",,Hootsuite Inc.
431,Somewhere in the World,2022-08-18 13:58:30+00:00,#ItTakesAVillage to end violence against women and girls in crises. In #Somalia with looming famine #foodinsecurity puts women&amp;girls at risk of more gender based violence. Humanitarian response must prioritise funding and services to #EndGBV https://t.co/r6mmmkXijk,"['ItTakesAVillage', 'Somalia', 'foodinsecurity']",Twitter for Android
432,United States,2022-08-18 13:42:00+00:00,"🗓️ Join us TODAY for our #WhiteHouseConferenceListeningSessions @ 3pm ET!

Today's topic: Promoting healthy food choices when providing #FoodAccess.

Your input + stories will help inform the @WhiteHouse on needs related to #FoodInsecurity https://t.co/6y2WduFw1Q",['WhiteHouseConferenceListeningSessions'],Sprout Social
433,"Bend, OR",2022-08-18 13:35:51+00:00,What contributes to rising food prices. Why #climateaction is urgent. #extreme drought #farming #foodinsecurity https://t.co/FfcUwH6hVF,"['climateaction', 'extreme', 'farming', 'foodinsecurity']",Twitter for Android
434,"Plymouth, MA",2022-08-18 13:05:24+00:00,RT @PlymouthSheriff: We surpassed 12k lbs of veggies grown on the farm this season!We thank our friends from @SSCAC who help with distribut…,,Twitter for iPhone
435,global,2022-08-18 13:05:02+00:00,"Today is #WorldHumanitarianDay!

Though the world is facing growing #FoodInsecurity, working together can help address hunger.
 
#ItTakesAVillage to feed the world – from humanitarian workers to farmers and more! 

@UNOCHA https://t.co/5a1SSPc2Gz","['WorldHumanitarianDay', 'FoodInsecurity']",Sprout Social
436,"Plymouth, MA",2022-08-18 12:58:36+00:00,RT @PlymouthSheriff: We surpassed 12k lbs of veggies grown on the farm this season!We thank our friends from @SSCAC who help with distribut…,,Twitter for iPhone
437,United Kingdom,2022-08-18 12:00:35+00:00,RT @JFledderjohann1: Excited to share the latest in the @Food_Equity Expert Interview Series! It was my privilege to speak w/@weareraman ab…,,TweetDeck
438,Bengaluru,2022-08-18 11:58:52+00:00,"We've managed to cope with the #foodinsecurity during #Pandemic, all thanks to Food Corporation of India (#FCI) stocks! But now due to climatic wrath, Central pool food grain #stocks are at lowest in 5 years!

#EconTwitter #foodcrisis","['foodinsecurity', 'Pandemic', 'FCI']",Twitter Web App
439,"Brighton, England",2022-08-18 11:48:55+00:00,RT @GeoFoodieOrg: Analysis of @Foodgov data on #foodinsecurity. A thread.  This is a representative sample of adults (over 16) living in En…,['foodinsecurity'],Twitter Web App
440,"Lancaster, United Kingdom",2022-08-18 11:42:34+00:00,RT @JFledderjohann1: Excited to share the latest in the @Food_Equity Expert Interview Series! It was my privilege to speak w/@weareraman ab…,,Twitter Web App
441,,2022-08-18 11:40:52+00:00,"@DanPriceSeattle Attention #Walmart shoppers:
this is what you support-#Medicaid #FoodSecurity #FoodBank #poverty #workers #foodinsecurity #LaborDay #Labor #Union #UnionStrong #UnionsForAll #profit #profits #business #stocks #dividend #investing #investment #investments #TaxTheRich #wealthTax","['Walmart', 'Medicaid', 'FoodSecurity', 'FoodBank', 'poverty']",Twitter Web App
442,"Lancaster, England",2022-08-18 11:27:26+00:00,"Excited to share the latest in the @Food_Equity Expert Interview Series! It was my privilege to speak w/@weareraman about the complexities of #FoodInsecurity in #India, inc. links w/water security &amp; sanitation, challenges farmers face, impact of #Covid, &amp; role of social policy. https://t.co/1OM8cdptVm https://t.co/ntqCmxHKuE",,Twitter Web App
443,"Lancaster, United Kingdom",2022-08-18 11:17:19+00:00,"RT @Food_Equity: *OUT NOW* 

The 5th episode of our Expert Interview Series where Dr @JFledderjohann1 and the astute @weareraman discuss th…",,Twitter Web App
444,Vidisha,2022-08-18 10:46:09+00:00,"RT @unwomenlebanon: Tomorrow is #WorldHumanitarianDay
Today, &amp; every day, say yes to:

#Feminist ♀️
#Strong 💪
#Empowered 🗣️
Women &amp; Girls i…","['WorldHumanitarianDay', 'Feminist', 'Strong', 'Empowered']",Twitter for Android
445,Argyll and Bute,2022-08-18 10:45:09+00:00,RT @Shropfoodpov: Useful (and deeply worrying) analysis of @foodgov data on #foodinsecurity  from @GeoFoodieOrg 👇,['foodinsecurity'],Twitter for iPhone
446,United Kingdom,2022-08-18 10:08:19+00:00,"*OUT NOW* 

The 5th episode of our Expert Interview Series where Dr @JFledderjohann1 and the astute @weareraman discuss the challenge of #FoodInsecurity in #India #Research #UKRI #AcademicTwitter 

Watch here: https://t.co/e0WQgmBhNM",,TweetDeck
447,"Fettercairn, Scotland",2022-08-18 09:37:07+00:00,"At K and M food distribution base today. This fortnight’s food is in the pics below, herbal teas, strawberries, tomatoes, pasta, UHT milk and a few miscellaneous items. Supporting two towns and several villages community food initiatives. #CostOfLivingCrisis #FoodInsecurity https://t.co/Rs0W9D3yb6",,Twitter for iPhone
448,Lebanon,2022-08-18 09:33:17+00:00,"RT @unwomenlebanon: Tomorrow is #WorldHumanitarianDay
Today, &amp; every day, say yes to:

#Feminist ♀️
#Strong 💪
#Empowered 🗣️
Women &amp; Girls i…","['WorldHumanitarianDay', 'Feminist', 'Strong', 'Empowered']",Twitter for iPhone
449,Lebanon,2022-08-18 09:30:12+00:00,"Tomorrow is #WorldHumanitarianDay
Today, &amp; every day, say yes to:

#Feminist ♀️
#Strong 💪
#Empowered 🗣️
Women &amp; Girls in Lebanon.

With thanks to @SafirAustralia, we will be supporting women with humanitarian assistance to respond to #FoodInsecurity &amp; #periodpoverty 🫂 https://t.co/uS9jYSCwWF","['WorldHumanitarianDay', 'Feminist', 'Strong', 'Empowered']",Hootsuite Inc.
450,"Nariman Point, Mumbai, India",2022-08-18 09:30:00+00:00,This brief by @shoba_suri &amp; @DrSubhasree makes a case for #climate-smart agriculture to combat global #foodinsecurity and nurture #sustainable food systems. https://t.co/zQ2DlBH5rK,['climate'],TweetDeck
451,,2022-08-18 09:20:51+00:00,"RT @CaritasEuropa: To end the cycle of #FoodInsecurity, @EU_Partnerships needs to:
✅Significantly reduce #Greenhousegas emissions 
✅Urgentl…","['FoodInsecurity', 'Greenhousegas']",Twitter for Android
452,"Plymouth, MA",2022-08-18 09:11:22+00:00,RT @PlymouthSheriff: We surpassed 12k lbs of veggies grown on the farm this season!We thank our friends from @SSCAC who help with distribut…,,Twitter for iPhone
453,"Shinyanga, Tanzania",2022-08-18 09:07:08+00:00,"RT @ICS_SP: @ICS_SP  There’s a clear need to support families with food, cash, livelihood support, and critical health and nutrition servic…",,Twitter for Android
454,"Barcelona, Spain",2022-08-18 09:06:38+00:00,"Just out:

New roots of famine: How climate crises and global conflict combine to threaten millions in the Horn of Africa

By @erik_english with @ThomasGaulkin

In @BulletinAtomic
 
https://t.co/gmDBXPhozY

#Africa #biosecurity #climatechange #drought #famine #foodinsecurity",,Twitter Web App
455,"Cape Coast, Ghana",2022-08-18 09:02:26+00:00,"RT @gyemgh: With the growing #foodinsecurity , would you start a home garden?
 
Check out a few of its benefits here: https://t.co/CfYUxzYW…",['foodinsecurity'],Twitter for iPhone
456,"Accra, Ghana",2022-08-18 09:02:00+00:00,"With the growing #foodinsecurity , would you start a home garden?
 
Check out a few of its benefits here: https://t.co/CfYUxzYWCs https://t.co/JUMUDgTlgn",['foodinsecurity'],Twitter Web App
457,Shropshire,2022-08-18 08:20:38+00:00,Useful (and deeply worrying) analysis of @foodgov data on #foodinsecurity  from @GeoFoodieOrg 👇 https://t.co/UNEFssOxge,['foodinsecurity'],Twitter Web App
458,Bucks,2022-08-18 08:18:19+00:00,RT @GeoFoodieOrg: Analysis of @Foodgov data on #foodinsecurity. A thread.  This is a representative sample of adults (over 16) living in En…,['foodinsecurity'],Twitter for iPhone
459,LImbo,2022-08-18 08:15:32+00:00,RT @GeoFoodieOrg: Analysis of @Foodgov data on #foodinsecurity. A thread.  This is a representative sample of adults (over 16) living in En…,['foodinsecurity'],Twitter Web App
460,"Nairobi, Kenya",2022-08-18 08:13:57+00:00,"RT @PlanKenya: When #girls drop out of school due to #foodinsecurity &amp; lack of meals at school, they are more likely to be married off or g…","['girls', 'foodinsecurity']",Twitter for Android
461,,2022-08-18 08:13:33+00:00,"RT @unwomenlebanon: 🐝Busy day at the newly established @LUPD_LB community kitchen in Beirut 🇱🇧 

In response to #FoodInsecurity, 60 women w…",['FoodInsecurity'],Twitter for iPhone
462,Kenya and Tanzania,2022-08-18 07:57:16+00:00,"@ICS_SP  There’s a clear need to support families with food, cash, livelihood support, and critical health and nutrition services to stop children from going hungry, either now, or in the future. #Drought2022 #foodinsecurity #Childprotection https://t.co/Vbo0SkzCfR",,Twitter Web App
463,East Midlands,2022-08-18 07:20:59+00:00,"During a #CostOfLivingCrisis and rising #foodinsecurity this is simply shameful. The Government's solution is yet another review of labour to gather more evidence. This will be the 3rd such review whilst some people starve 
https://t.co/83p7H69Qzq","['CostOfLivingCrisis', 'foodinsecurity']",Twitter Web App
464,FEMA Region 2,2022-08-18 07:18:18+00:00,"American Farmers Are Killing Their Own Crops And Selling Cows Because Of Extreme Drought https://t.co/TaevHXJJQP 

#Breaking #FoodInsecurity #FoodShortage",,Twitter Web App
465,,2022-08-18 06:40:01+00:00,"RT @ICRAF: With over 2 billion people experiencing #foodinsecurity, scientists argue that the greater use of #trees is a key solution to ad…","['foodinsecurity', 'trees']",Twitter for iPhone
466,,2022-08-18 05:25:16+00:00,"Ghost Mug,̖ Halloween Mug, #Halloween #Coffee Mug, Ghost Coffee Mug, Gift For Here ✌
#poverty #housingforall #foodinsecurity #potablewater #fordeabbey #dorset #indiemusic #lyrics 

https://t.co/nodn9UtL40","['Halloween', 'Coffee', 'poverty', 'housingforall']",PoetBot
467,,2022-08-18 04:03:39+00:00,"RT @gnc_alliance: This Friday is #WorldHumanitarianDay!🙌
To celebrate, we’re sharing some of our recent work…
📝#HONDURAS: see how we suppor…","['WorldHumanitarianDay', 'HONDURAS']",Twitter for Android
468,"Ontario, Canada",2022-08-18 02:53:09+00:00,RT @Campaign2000: New report from @proofcanada shows sobering rates of household food insecurity in the provinces. This is not a new proble…,,Twitter for Android
469,"Kathmandu, Nepal",2022-08-18 02:50:01+00:00,"RT @farmerscornerng: A high cost of chemical intensive agriculture is a recipe for hunger.

Tag a friend. #agrochemicals #sustainability #c…","['agrochemicals', 'sustainability']",Twitter for Android
470,"Calgary, AB",2022-08-18 02:42:59+00:00,RT @Campaign2000: New report from @proofcanada shows sobering rates of household food insecurity in the provinces. This is not a new proble…,,Twitter Web App
471,Canada,2022-08-18 02:31:41+00:00,"RT @proofcanada: After six PROOF reports, the story of #FoodInsecurity in Canada remains the same — it is a large problem that hasn’t gotte…",['FoodInsecurity'],Twitter Web App
472,"Nariman Point, Mumbai, India",2022-08-18 02:30:00+00:00,This brief by @shoba_suri &amp; @DrSubhasree makes a case for #climate-smart agriculture to combat global #foodinsecurity and nurture #sustainable food systems. https://t.co/zQ2DlBpuAc,['climate'],TweetDeck
473,Canada,2022-08-18 02:29:00+00:00,New report from @proofcanada shows sobering rates of household food insecurity in the provinces. This is not a new problem. At the core is inadequate incomes for working age adults and their families. Link to report below #cdnpoli #foodinsecurity https://t.co/XnPyoIXIL6,,Twitter for iPhone
474,Canada,2022-08-18 02:25:47+00:00,"RT @CompassFoodBank: Like other food banks across Canada, numbers keep climbing at @CompassFoodBank. The number of people we feed, the numb…",,Twitter for Android
475,"Louisville, Kentucky ",2022-08-18 01:57:30+00:00,"$53 ain't enough for food $53 worth of food won't last a goddamn month it'll last probably a week and a half smh. A $81 reduction due to a income technicality is fucking barbaric, sick, criminal, and ridiculous!!!!. #SNAPReform #Bernie2024 #Louisville #Kentucky #FoodInsecurity https://t.co/D9Xt4rNHIZ",,Twitter for Android
476,"Kolkata, India",2022-08-18 01:30:00+00:00,This brief by @shoba_suri &amp; @DrSubhasree makes a case for #climate-smart agriculture to combat global #foodinsecurity and nurture #sustainable food systems. https://t.co/kd0UZVHKFV,['climate'],TweetDeck
477,"Orlando, FL",2022-08-18 01:28:11+00:00,"RT @BlessinBackpack: We want to thank our amazing #staff, #volunteers, and #donors. You are a gift to the children who experience #foodinse…","['staff', 'volunteers', 'donors']",Twitter for iPhone
478,"Peel, Ontario",2022-08-18 01:18:05+00:00,"RT @CompassFoodBank: Like other food banks across Canada, numbers keep climbing at @CompassFoodBank. The number of people we feed, the numb…",,Twitter for iPhone
479,,2022-08-18 01:05:01+00:00,"RT @ICRAF: With over 2 billion people experiencing #foodinsecurity, scientists argue that the greater use of #trees is a key solution to ad…","['foodinsecurity', 'trees']",Twitter for Android
480,Taipei,2022-08-18 00:57:36+00:00,"RT @CAREGlobal: Despite women being responsible for 90% of preparing and buying food, they are eating last and least. #Ittakesavillage to r…",['Ittakesavillage'],Twitter Web App
481,Phoenix,2022-08-18 00:23:56+00:00,Our amazing #team HonorHealth  working on closing the loop for our patients who have #foodinsecurity . #SDOH #QI #processimprovement to help the patients who need it the most. https://t.co/Cuib3Jiqap,"['team', 'foodinsecurity', 'SDOH', 'QI']",LinkedIn
482,"Mansfield, OH and Brockton, MA",2022-08-18 00:02:19+00:00,RT @PlymouthSheriff: We surpassed 12k lbs of veggies grown on the farm this season!We thank our friends from @SSCAC who help with distribut…,,Twitter for Android
483,"Plymouth, Massachusetts USA",2022-08-17 23:53:38+00:00,We surpassed 12k lbs of veggies grown on the farm this season!We thank our friends from @SSCAC who help with distribution throughout the county. What a great feeling to know we are helping fight #foodinsecurity Thanks K9 Officer Alex Johnson for the video https://t.co/Ktoo07u8DJ,,Twitter for iPhone
484,,2022-08-17 23:40:44+00:00,"RT @CompassFoodBank: Like other food banks across Canada, numbers keep climbing at @CompassFoodBank. The number of people we feed, the numb…",,Twitter for iPhone
485,New York City,2022-08-17 23:32:58+00:00,"Should the #FoodInsecurity experience scale crowd out other food access measures? evidence from Nigeria: India Environmental Portal https://t.co/BNZ8zgNrCE #hunger 

MORE w/ EcoSearch: https://t.co/pNn0nrRzAr",['FoodInsecurity'],BigEarthData EcoSearch
486,"California, USA",2022-08-17 23:19:20+00:00,"RT @KatiesKrops: In April 2021, #LeadershipDorchester class of 2020 built a new section of our Katie's Krops flagship garden. Thrilled to s…",['LeadershipDorchester'],Twitter for iPhone
487,"California, USA",2022-08-17 23:18:50+00:00,RT @KatiesKrops: 52 pounds of beautiful fresh produce shared with @FeedingHopeAL courtesy of our @ACAEagles Katie's Krops Growers. Thanks f…,,Twitter for iPhone
488,"California, USA",2022-08-17 23:17:45+00:00,"RT @KatiesKrops: Our 212-pound harvest today was shared with the 
@ChasCoLibrary
Free &amp; Fresh program. Through the program, the library has…",,Twitter for iPhone
489,"California, USA",2022-08-17 23:17:25+00:00,RT @KatiesKrops: A record breaking day in the garden working side-by-side with @SPDSC to provide healthy fresh to our neighbors dealing wit…,,Twitter for iPhone
490,"Mississauga, Ontario",2022-08-17 22:47:04+00:00,"RT @CompassFoodBank: Like other food banks across Canada, numbers keep climbing at @CompassFoodBank. The number of people we feed, the numb…",,Twitter for iPhone
491,"Franklin, MA",2022-08-17 22:45:17+00:00,RT @FranklinFoodPan: We're hiring! Come join our team and make a difference. #foodinsecurity #foodpantry #communications #funddevelopment #…,"['foodinsecurity', 'foodpantry', 'communications', 'funddevelopment']",Twitter for iPhone
492,New York,2022-08-17 22:22:43+00:00,RT @IslandHarvest: We welcome @RuthsChris Steak House to Melville and look forward to being their #charity partner. Through valued partners…,['charity'],Twitter for iPhone
